País,Región,Universidad Indigena o Intercultural,Pobl. total en el año de pobl indígena/afro,Pob. Indígena,Proporción Indígena (%)
Argentina,Chaco,Instituto de Educación Superior CIFMA (CENTRO DE INVESTIGACIÓN Y FORMACIÓN PARA LA MODALIDAD ABORIGEN),45892285.0,1306730,2.847384914479634
Bolivia,Chimoré,Universidad quechua Casimiro Huanca,10059856.0,4176647,41.517960098037186
Bolivia,Warisata,Universidad Indígena Aymara Tupac Katari,10059856.0,4176647,41.517960098037186
Bolivia,Ivo,Universidad Gurani de Tierra Bajas “Apiaguaiki Tüpa”,10059856.0,4176647,41.517960098037186
Colombia,Popayán,Universidad Autónoma Indígena Intercultural,48258494.0,1905617,3.948770137750258
Ecuador,Quito,Universidad Intercultural de las Nacionalidades y Pueblos Indígenas “Amawtay Wasi”,16938986.0,1302057,7.6867470107124465
Ecuador,Colta,Instituto Superior Pedagógico Intercultural Bilingüe Jaime Roldós Aguilera,16938986.0,1302057,7.6867470107124465
Ecuador,Cañar,Instituto Superior Pedagógico Intercultural Bilingüe Quilloac,16938986.0,1302057,7.6867470107124465
Ecuador,Sucumbíos,Instituto Superior Pedagógico Bilingüe Intercultural Martha Bucaram de Roldós,16938986.0,1302057,7.6867470107124465
Ecuador,Pastaza,"Instituto Superior Pedagógico Intercultural Bilingüe ""Canelos""",16938986.0,1302057,7.6867470107124465
Guatemala,Chimaltenango,Universidad Maya Kaqchikel,14901286.0,6471670,43.430278433686865
Guatemala,Ixil,Universidad Ixil,14901286.0,6471670,43.430278433686865
Honduras,Lempira,Universidad Indígena y de los Pueblos,7657684.0,582119,7.601763144052431
Mexico,Xalapa,Universidad Veracruzana Intercultural,126014024.0,23229089,18.43373321686799
Mexico,Guerrero,Universidad intercultural de los pueblos del Sur (UNISUR),126014024.0,23229089,18.43373321686799
Mexico,Quintana Roo,Universidad Intercultural Maya de Quintana Roo,126014024.0,23229089,18.43373321686799
Mexico,Chiapas,Universidad Intercultural de Chiapas,126014024.0,23229089,18.43373321686799
Mexico,Zinacantán,Escuela Normal Indígena Intercultural Bilingüe Jacinto Canek,126014024.0,23229089,18.43373321686799
Mexico,Mochicahui,Universidad Autónoma Indígena de México,126014024.0,23229089,18.43373321686799
Mexico,San Ildefonso Tultepec,Instituto Intercultural Ñöñho,126014024.0,23229089,18.43373321686799
Mexico,Estado de México,Universidad Intercultural del Estado de México,126014024.0,23229089,18.43373321686799
Mexico,Estado de Guerrero,Universidad Intercultural del Estado de Guerrero,126014024.0,23229089,18.43373321686799
Mexico,Estado de Puebla,Universidad Intercultural del Estado de Puebla,126014024.0,23229089,18.43373321686799
Mexico,Estado de Michoacán,Universidad Intercultural Indígena de Michoacán,126014024.0,23229089,18.43373321686799
Mexico,Estado de San Luis Potosí,Universidad Intercultural de San Luis de Potosí,126014024.0,23229089,18.43373321686799
Mexico,Estado de Tabasco,Universidad Intercultural del Estado de Tabasco,126014024.0,23229089,18.43373321686799
Mexico,Estado de Hidalgo,Universidad Intercultural del Estado de Hidalgo,126014024.0,23229089,18.43373321686799
Mexico,San Quintín,Universidad Intercultural de Baja California,126014024.0,23229089,18.43373321686799
Mexico,Campeche,Universidad Intercultural de Campeche,126014024.0,23229089,18.43373321686799
Mexico,San Juan Ixtenco,Universidad Intercultural de Tlaxcala,126014024.0,23229089,18.43373321686799
Mexico,Estado de Colima,Universidad Intercultural de Colima,126014024.0,23229089,18.43373321686799
Mexico,Estado de Guanajuato,Universidad Intercultural del Estado de Guanajuato,126014024.0,23229089,18.43373321686799
Mexico,Sonora,Universidad del Pueblo Yaqui,126014024.0,23229089,18.43373321686799
Mexico,Oaxaca,Universidad Intercultural del Pueblo,126014024.0,23229089,18.43373321686799
Nicaragua,Managua,Universidad de las Regiones Autónomas de la Costa Caribe Nicaragüense (URACCAN).,5142098.0,285230,5.546957681475538
Nicaragua,Bluefields,Bluefields Indian & Caribbean University,5142098.0,285230,5.546957681475538
Perú,Pucallpa,Universidad Nacional Intercultural de la Amazonía,29381884.0,5985551,20.37156977408256
Perú,La Merced,"Universidad Nacional Intercultural de la Selva Central “Juan Santos Atahualpa""",29381884.0,5985551,20.37156977408256
Perú,Quillabamba,Universidad Nacional Experimental Indígena del Tauca,29381884.0,5985551,20.37156977408256
Perú,Bagua,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,29381884.0,5985551,20.37156977408256
Venezuela,Bolívar,Universidad Nacional Experimental Indígena del Tauca,27227930.0,724592,2.661208545783686
